ML Model Name,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC Score
Logistic Regression,0.8861607142857143,0.89334821953226,0.6904761904761905,0.43283582089552236,0.5321100917431193,0.4878371786780061
Decision Tree,0.8348214285714286,0.6605359031613586,0.4426229508196721,0.40298507462686567,0.421875,0.32625562225222837
KNN,0.8660714285714286,0.7666392447212755,0.6,0.31343283582089554,0.4117647058823529,0.3676886881040405
Gaussian Naive Bayes,0.8147321428571429,0.7925529831159165,0.4069767441860465,0.5223880597014925,0.45751633986928103,0.35182014549940727
Random Forest,0.8883928571428571,0.8750342774317389,0.7741935483870968,0.3582089552238806,0.4897959183673469,0.4775520567719945
